a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
31,sgtmaj1,220800,15200,RANK_SGTMAJ,RANK_SGTMAJ_FULL,rank_sgtmaj1,236000,,,,,,32,32,,RANK_SGTMAJ_FULL,PERKS_UNLOCKED_AT_LV32
32,sgtmaj2,236000,15800,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,rank_sgtmaj1,251800,,,,,,33,33,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV33
33,sgtmaj3,251800,16400,RANK_SGTMAJ,RANK_SGTMAJ_FULL3,rank_sgtmaj1,268200,,,,,,34,34,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV34
34,sgtmaj4,268200,17000,RANK_SGTMAJ,RANK_SGTMAJ_FULL4,rank_sgtmaj1,285200,,,,,,35,35,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV35
35,csm1,285200,17600,RANK_CSM,RANK_CSM_FULL,rank_cmdsgtmaj1,302800,,,,,,36,36,,RANK_CSM_FULL,PERKS_UNLOCKED_AT_LV36
36,csm2,302800,18200,RANK_CSM,RANK_CSM_FULL2,rank_cmdsgtmaj1,321000,,,,,,37,37,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV37
37,csm3,321000,18800,RANK_CSM,RANK_CSM_FULL3,rank_cmdsgtmaj1,339800,,,,,,38,38,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV38
38,csm4,339800,19400,RANK_CSM,RANK_CSM_FULL4,rank_cmdsgtmaj1,359200,,,,,,39,39,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV39
39,2ndlt1,359200,20000,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt1,379200,,,,,,40,40,,RANK_2NDLT_FULL,PERKS_UNLOCKED_AT_LV40
40,2ndlt2,379200,20600,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt1,399800,,,,,,41,41,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV41
41,2ndlt3,399800,21200,RANK_2NDLT,RANK_2NDLT_FULL3,rank_2ndlt1,421000,,,,,,42,42,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV42
42,2ndlt4,421000,21800,RANK_2NDLT,RANK_2NDLT_FULL4,rank_2ndlt1,442800,,,,,,43,43,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV43
43,1stlt1,442800,22400,RANK_1STLT,RANK_1STLT_FULL,rank_1stlt1,465200,,,,,,44,44,,RANK_1STLT_FULL,PERKS_UNLOCKED_AT_LV44
44,1stlt2,465200,23000,RANK_1STLT,RANK_1STLT_FULL2,rank_1stlt1,488200,,,,,,45,45,,RANK_1STLT_FULL_N,PERKS_UNLOCKED_AT_LV45
45,1stlt3,488200,23600,RANK_1STLT,RANK_1STLT_FULL3,rank_1stlt1,511800,,,,,,46,46,,RANK_1STLT_FULL_N,PERKS_UNLOCKED_AT_LV46
46,1stlt4,511800,24200,RANK_1STLT,RANK_1STLT_FULL4,rank_1stlt1,536000,,,,,,47,47,,RANK_1STLT_FULL_N,PERKS_UNLOCKED_AT_LV47
47,capt1,536000,24800,RANK_CAPT,RANK_CAPT_FULL,rank_capt1,560800,,,,,,48,48,,RANK_CAPT_FULL,PERKS_UNLOCKED_AT_LV48
48,capt2,560800,25400,RANK_CAPT,RANK_CAPT_FULL2,rank_capt1,586200,,,,,,49,49,,RANK_CAPT_FULL_N,PERKS_UNLOCKED_AT_LV49
49,capt3,586200,26150,RANK_CAPT,RANK_CAPT_FULL3,rank_capt1,612350,,,,,,50,50,,RANK_CAPT_FULL_N,PERKS_UNLOCKED_AT_LV50
